,0,1,2,3,4,5,6
61,17.0,0.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
62,-17.0,8.5,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
63,-8.5,8.5,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
64,0.0,8.5,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
65,8.5,8.5,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
66,17.0,8.5,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
67,-17.0,17.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
68,-8.5,17.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
69,0.0,17.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
70,8.5,17.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
71,17.0,17.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
72,-17.0,-17.0,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
73,-8.5,-17.0,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
74,0.0,-17.0,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
75,8.5,-17.0,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
76,17.0,-17.0,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
77,-17.0,-8.5,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
78,-8.5,-8.5,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
79,0.0,-8.5,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
80,8.5,-8.5,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
81,17.0,-8.5,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
82,-17.0,0.0,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
83,-8.5,0.0,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
84,8.5,0.0,-1.8369701987210297e-16,-1.0,0.0,-110.0,-60.0
